bet_id,timestamp,amount,probability
4dniKcevTF2AKayTJ2yv,1701288365537,2.05,0.930202653853111
TzauAQjKZ3rAprBd0Wpu,1701288341896,10,0.9301822261187528
MufBk6wR1gDdM0AoYZoK,1701288319338,10,0.931503477343908
UbRXQtoXqzTJxNT0QRgl,1701288316172,100,0.9314067024070068
LEVUpI0cUgSwb2bBQoS3,1701288315849,1000,0.9304267772551841
4aAxzEyExQuW5YBawFSX,1701280925682,2.05,0.9192542812146768
iKmIGmUYycua4k2Z9N0m,1701280900329,22.000000000000004,0.9192284805354728
8bSmUoCzFw4sKVT5Y8SO,1701280872734,100,0.9223489818208713
xRrkLdhU4rOqDqyOOKDG,1701280872390,1000,0.9211523633867859
pgWRqJozfDKR1FzU57Kv,1701279316585,10,0.9073671994725603
MGkTiG30FelbmETMfW9w,1701271686461,22,0.9072101556503785
YilJMhjZjygJVGwnIWZY,1701271685626,2.05,0.9105678227573137
okkFa74U7UrpAyN6BZwY,1701271672796,100,0.9105373640774796
i13UFNHxucbFsGtUXFXO,1701271672467,10,0.909031279440965
urL2ROiHNiYZig1QWvn3,1701271341342,-5.008365396258341,0.9088784536803742
bPIbuBYh6uvAQkDE5jt6,1701262198357,-25.81999494355128,0.9081124154915553
fkJpe4Oa1yEhutnZUPLK,1701259092973,10,0.9041135520819509
u7FoWEgYED3vtBAdYebv,1701253706881,72,0.905674662683068
RMkg30X7qFQXecckrUh4,1701253693396,-34.01386433630262,0.9044966348352127
AI4Nmj2gv8IV0vdSYvav,1701252099405,273,0.9050560482971
5QZpl3eKUXUZsgJg47mg,1701252089828,10,0.900408254931495
tBTeAv4EXSVgo4MkECn0,1701249197022,273,0.9020007478905167
8acEnkDn9vAJvPrjEW51,1701249181408,159.81490481659677,0.8970944594815776
8acEnkDn9vAJvPrjEW51,1701249181408,22.222222222222218,0.8970944594815776
8acEnkDn9vAJvPrjEW51,1701249181408,17.962872961181017,0.8970944594815776
Y2cSxotJzkfZOehFkLhx,1701249049661,273,0.9240646338618446
04ubM637SkLVW0X8QNfG,1701249040232,50,0.9208119715259404
1DKAerIJnvcf78G6sOEF,1701249011991,50,0.9278087079935361
4dsYPfJFRMbbT6WYjlHe,1701248765699,2.05,0.9344700037089346
0Nw4S9ncjpOe4I82mZxX,1701248708821,100,0.9344513306439765
sEXCmY2ISiYaYFA2WQuD,1701248708401,45,0.9335300085646178
6gzWvPwUlL4gQDMLFJTb,1701243758848,22,0.9331086372365816
ynpqC3Bet4GOs21m2VV9,1701243744653,5,0.9359689566526822
